,CCDC200,AC108010.1,CELF2-AS1,ALKBH5,AC087222.1,RSL1D1,RPL15P5,PLEKHG2,MIDEAS,CFAP298,DTD1,FAM32A,PLXND1,ZBTB37,RBM14,HIF1A-AS3,PIEZO1,ZNF222,HNRNPM,NEURL4,FOXK1,TUFM,Y_RNA.142,SUFU,POM121B,AC010531.3,AL356750.1,FIP1L1,CUL9,A2M,PPM1F-AS1,FUT4,ASB8,AC018607.1,ATP6V0CP1,AC116158.3,HNRNPH2,RAMACL,NOL6,PLEC,SKI,AL513475.1,HCFC1,TRIO,CWC15,EEF1A1P9,GAA,PDHB,ANKRD61,NUP210,DNAJB11,UBE2D2,NISCH,RN7SL288P,AC008267.3,PHF20,EP400,THAP1,CSNK1G2-AS1,ZNF891,AL645924.2,AC112694.1,CSK,SLC38A10,AARSD1,AC114402.1,MEX3D,AC022973.2,SLC12A4,AC012618.2,NOTCH2,AC055811.4,BAIAP2L1,RIPOR1,TIGD7,IGSF3,RNA5SP493,AL732372.2,ZNF830,RNU1-134P,NDUFB4P6,HCLS1,BIN2,PPP1R26P1,CLEC4E,RPS2P7,HERC2,NSMCE3,AHSA1,AL161725.1,GMEB2,Y_RNA.322,AP000560.1,EBNA1BP2,RPL21P44,AC096921.1,Diagnosis
RNA140_FPKM,0.324269591,10.96485834,3.090783465,26.53973241,1.66547882,10.18345903,1.078222213,2.261414237,3.116881681,1.767775174,3.752269538,23.41041297,6.115177077,2.455643124,5.036039222,0.81301913,16.68968909,1.238173408,14.03368677,3.572021008,5.0031219,62.88318957,0.740649397,2.690778272,0.431654078,1.338845126,0.550309794,4.000302705,3.751245909,0.101201245,0.380529788,8.677756635,3.814337325,0.453535519,0.24701558,0.70998397,58.52976744,3.487853755,3.308463508,37.7270821,20.70875641,0.0,6.378779268,1.451588324,8.182036663,3.255531264,45.87023319,3.729787085,0.268107022,26.6274092,6.842996889,23.42761518,10.19183937,0.786744043,0.428692984,6.129708634,3.21942409,2.930211583,0.536290351,0.496858085,0.339143783,0.073782324,42.08769638,16.78398899,2.188419797,0.237411553,1.40921027,0.0,2.256027557,1.168500535,13.48941772,1.957795919,0.46084773,7.149551012,1.075098047,0.00671776,0.838317449,0.973986491,7.880699872,0.0,0.417091882,111.0820201,67.83797207,0.147847197,11.33618872,2.500628729,1.867477236,11.1767624,6.826246391,0.522309556,6.998471627,1.350934767,0.236388763,3.41598558,0.161624762,0.407081676,1
RNA145_FPKM,0.206928905,5.930220829,1.094644225,22.74065139,0.144988065,6.748343793,0.9173348,1.138821523,2.626604247,1.560354989,4.02134552,24.44717341,4.945523607,0.205420027,3.946654024,0.707466379,13.08859117,1.247581615,13.48205136,3.921251097,3.983810544,45.39019248,0.0,2.54720819,0.649294399,2.990116284,0.029276436,2.851878972,3.267889231,0.048431506,0.371527552,4.219483057,3.627421314,1.519556272,0.118242694,0.305822415,71.55002936,3.998967457,1.991392509,22.21874799,22.40526005,0.0,5.651963194,0.701128322,7.800649247,2.32393874,45.0845069,3.091751445,0.256672606,22.77884631,6.222117635,22.03057154,11.17463242,0.0,0.512984717,6.629445206,2.064893295,1.945264715,1.087061846,0.154359278,0.48695189,0.035318504,48.05592413,18.13534135,1.683284834,0.227193728,0.601133626,0.635208902,2.736999562,0.774341876,9.932367418,0.499722578,0.194613313,7.087969986,0.930136989,0.0,0.0,1.043129219,6.789066423,0.0,0.199655697,138.5904277,78.4160806,0.121299945,52.30179956,1.980891757,0.652370644,8.29579896,6.814472631,0.264680685,6.7078789,0.646672433,0.113143806,2.497586157,1.238013278,0.0,0
RNA150_FPKM,0.446858061,15.63660969,5.012831572,20.4650518,1.925968477,7.39128379,0.50794773,2.315370509,3.860501867,1.843198955,3.099089835,18.64100286,6.387727369,2.718700909,5.33842915,1.762829786,21.51503195,1.727026852,13.35692644,4.07115206,6.54491422,39.20681904,2.356039108,2.453859287,0.621011874,4.888289475,0.550970768,3.195101615,4.422244062,0.026817552,0.367073708,5.420491183,3.790108663,2.524198722,1.439801677,1.254351409,64.29905096,3.575401367,3.729188325,39.95837157,25.42136657,0.770387391,7.571118762,1.52741623,5.926202563,2.456608776,26.61086284,2.704358722,0.682142033,33.12327645,4.953341803,18.41466494,11.38696485,0.277974832,0.454442,5.54924683,3.871348619,2.03736347,1.203863531,0.05543938,0.898785289,0.0,46.90198385,17.73863395,1.750225773,0.629009923,0.990464537,1.828832676,3.414822104,4.097032524,16.76757678,1.936995403,0.632211871,8.321626699,1.128700326,0.007123166,0.888908528,2.960221241,7.017275129,3.43172565,0.0,98.42948369,75.25444956,0.179110271,24.51438779,1.645326228,1.499028725,7.747970148,6.844632932,0.89565179,7.05271345,2.863386763,0.626454148,2.685760933,1.713785509,0.647125408,1
RNA151_FPKM,0.791035466,7.243534382,1.821293844,14.72024263,0.431697486,6.790626695,0.569332344,1.75657493,2.046737499,1.308311366,1.225225772,24.29160659,5.122674198,1.745424641,5.014003929,1.018560383,16.49184338,1.331647521,10.80112271,2.314747679,3.772750641,34.12987722,1.408067458,3.347190141,0.468880999,2.544856571,0.145298359,2.891117568,2.55625583,0.040077876,0.309226235,8.714462778,3.265088296,2.802008407,0.0,0.134960514,57.90300004,4.262106152,2.29312696,28.76862367,10.83503411,0.460415708,5.910446836,0.769853397,7.048403438,1.311068021,45.57820085,2.814654183,0.662576752,21.34409599,6.296553662,15.57078029,7.452117218,0.0,0.101888462,3.723201715,2.007756788,1.85663687,1.379227883,0.132554842,0.402960781,0.070097123,52.00830769,18.82317613,1.262822859,0.564019756,0.931726951,0.126164496,2.034494882,1.110537948,14.49854219,0.496214569,0.309176286,7.224096634,0.677928766,0.0,0.0,1.346484582,4.519007579,0.439664152,0.0,80.75835466,77.40416341,0.14051914,60.65912819,1.557125431,0.67629305,5.281362149,8.436677542,0.496425142,4.123978489,0.641987478,0.112326037,2.204376041,0.921930225,0.580201422,0
RNA152_FPKM,0.369199948,7.584777855,1.975214919,26.347067,0.834115697,7.824929633,0.396059714,1.415968546,3.026767913,1.979722118,3.474897494,21.92320625,7.02684813,1.55442658,6.389868593,0.570060697,22.50491188,1.400186158,15.9140107,3.77751534,6.051752811,53.76941433,0.816472615,2.626889473,2.276160637,3.27810201,0.505317316,3.022622494,4.206642993,0.074337977,0.607954772,4.38521329,3.667199386,1.874104041,0.408236308,0.990894496,52.44161812,2.998435105,3.255363709,35.08827581,25.25337644,0.0,8.934688534,1.107510906,7.488754073,1.641543023,28.85450234,3.739734689,0.295428188,36.44671208,5.835079803,25.29886144,13.37993655,0.0,0.708554762,6.272600482,3.57685319,2.742578077,0.834214123,0.48983014,0.84086781,0.0,45.59483927,17.58161948,2.400506007,0.130787993,2.261558459,0.0,3.410696302,2.773086785,11.61091399,1.62989833,0.209089758,7.072842472,1.070678892,0.022216453,0.0,1.275797053,9.609423759,1.019353689,0.229772348,100.7409288,79.11420691,0.186184431,22.31649358,1.425166124,1.601126968,10.45377577,7.900269158,0.423162686,7.968192701,0.744218401,0.26044966,3.319412144,0.890665914,0.0,0
RNA155_FPKM,0.276790391,6.144538883,0.823131323,19.23688978,0.775506723,8.517656038,0.736305284,1.879163178,2.138623286,1.684592117,3.737385188,28.84634695,4.040643,1.225239122,4.215699061,0.189276217,11.96145183,0.901145309,16.2251124,3.537333246,3.92522792,54.44350195,0.0,2.39141152,0.536905022,1.980810173,0.219229785,3.293698328,3.266719097,0.051831856,0.391729768,3.779968035,2.590645905,0.81307213,0.252980834,0.169689362,65.16159867,3.768966906,2.123614942,22.78012072,16.49470665,0.0,6.464486106,0.60789679,7.178908254,1.243452869,46.45151731,2.880630977,0.384537979,22.37231873,5.0203697,23.23760497,10.75993334,0.537258266,0.329372518,6.798361342,2.252458158,2.565755045,1.389479606,0.15625398,0.173713506,0.0,51.73771046,20.00389289,2.051489161,0.0,1.223806123,0.0,2.654817728,0.736513816,8.444673206,0.534768837,0.20825893,7.803897329,0.635327973,0.006883681,0.0,0.97673468,6.269478564,0.473764107,0.213582179,124.2393141,73.22371339,0.064908174,29.14559976,1.85482965,0.879556878,8.812752097,8.518498212,0.306848037,6.365736966,2.075338345,0.0,3.124607686,0.66246676,0.0,0
RNA165_FPKM,0.435462355,22.80863628,5.12302421,27.89776131,2.788588109,7.104394704,1.103102127,3.146619999,5.002193621,1.150832209,2.861721939,21.14249494,5.426903372,3.405673668,5.236907257,1.91417991,21.57992437,1.237711052,12.9464391,3.989404471,8.366201408,48.52408258,0.852645338,2.801189011,1.703534919,7.705227125,0.739045294,3.389484944,4.907357996,0.165020541,0.554084612,4.769596498,3.347415486,2.349321466,0.852801158,2.124795938,60.29352075,4.279417538,3.633618446,37.30257353,29.21307215,0.278801492,9.326758466,1.110831139,7.054124655,1.778388025,36.25150071,3.108270593,0.987665781,39.80914608,7.697396503,21.60800019,12.51792538,1.509308061,0.986904572,6.763689194,4.488792067,1.904024086,3.776465565,0.556863544,1.171180257,0.25472746,40.57523527,17.84044975,2.001701258,0.546479278,1.322347871,0.763841123,3.279234129,3.724601523,17.26042324,3.505546435,0.577266281,8.086011783,0.94001991,0.007733574,0.965082086,3.135981444,8.133794846,2.129613187,0.720119415,98.40755136,74.28027951,0.267434199,14.46219954,2.084358252,1.741775583,9.339910487,6.46477494,0.839927064,7.744161033,3.109612176,0.453493697,3.090461307,0.744462237,0.234193253,0
RNA174_FPKM,0.420543174,23.57684014,5.460100858,19.14673405,1.432883827,10.19229657,1.511660576,3.500080122,3.58800297,1.630323486,3.171026911,19.92699502,6.24256542,2.952130056,5.311307159,1.321201195,19.59381392,1.404799569,12.51913495,4.242029264,5.324545047,43.88572485,2.33742076,2.8710577,1.069910716,4.53628227,0.707272709,3.958159201,4.539961664,0.24829941,0.578201813,6.012667604,4.348749235,2.623109482,0.389570127,1.518030821,60.53245538,4.393069578,4.018276607,39.88735049,21.85571471,1.019065982,8.235464371,1.377409668,7.541076961,2.030753373,54.48258431,3.71804524,1.184189203,35.48309332,5.743409952,19.13320573,10.99716096,0.827334496,0.676150436,6.719716977,4.169699328,2.716759544,1.92399175,0.641620176,0.891583216,0.0,43.07529119,16.42312532,2.064910772,0.499231391,1.175796501,1.116386091,2.946046183,3.118997671,16.70612489,3.202430918,0.62712351,8.535796146,0.913098687,0.021200629,0.0,3.903330782,8.590661279,0.486372401,0.657798739,94.15603306,73.38494067,0.222093799,14.42364108,2.448146794,1.714305573,7.934755603,6.535219206,1.090383492,7.270820305,3.550948943,0.579984863,3.485986103,0.17002425,0.428007713,1
RNA179_FPKM,0.186134373,21.22081797,12.40785023,17.95012136,0.651766007,7.402481192,0.25789974,1.588380267,3.951679005,0.966895008,2.353687442,21.45368746,7.830616175,4.97536304,3.761066102,1.312522234,12.67582888,0.981918479,9.515747624,2.701863859,4.42018051,24.39769177,0.79748609,1.916465033,1.526482377,7.68484604,0.329061086,2.930061347,3.006717573,0.117989333,0.40750332,6.343867499,4.344637164,1.586456866,0.132914348,1.146194082,46.28832794,3.671353373,2.036959179,26.93137561,25.84536873,1.303590904,5.036297011,1.113459285,6.437891928,1.603407093,36.14004628,2.609260058,0.808029893,22.59329026,6.571402099,16.02130291,8.258011628,1.128831847,0.346100002,6.817111797,2.893351025,2.441557361,1.9353127,0.408101927,0.547524669,0.0,34.91203649,15.38614178,0.967364968,0.383239816,0.840761746,1.142703194,2.744297682,3.28916311,23.50696453,2.388070136,0.466823685,8.461748982,0.834440264,0.021699824,0.902649091,4.735531642,7.379103511,0.0,1.121942991,94.96341523,95.70860019,0.454635688,38.39168289,1.113609496,0.662427326,3.51700403,4.70144309,1.529372582,5.925350472,4.360815947,0.211993358,1.94000046,1.044008902,0.657128538,0
RNA18_FPKM,0.291247231,17.22330323,5.996174215,15.24341588,0.81591317,10.20558585,0.258288541,1.042473938,2.729271357,1.585145168,4.019351691,20.208785,2.459556814,0.405719772,1.56462583,3.584637805,5.792315584,2.844620621,13.48595556,1.453810902,1.913979597,16.41425317,3.99242949,2.015145706,0.0,4.008197762,0.790841567,3.802504136,2.324423369,0.272673852,0.174305795,6.922980852,6.295338411,5.010595936,0.0,1.976810815,49.00475794,3.552647781,1.689485977,7.591890961,15.06668808,0.0,1.778473912,1.201473734,8.642863215,2.676204386,4.07867527,3.746570403,0.346792086,13.60928142,10.84475581,17.76090343,7.570691724,1.695825216,0.0,10.05410382,3.042165889,3.141180561,0.408007555,0.610671512,0.639722265,0.039760706,17.39255638,3.904336999,1.316210856,0.767472998,0.115566045,0.0,1.424990035,0.096896231,24.0653644,1.875636354,0.482099537,2.464043109,1.682388695,0.028967536,0.0,3.751214377,8.74854965,0.0,0.674302463,59.65807861,50.9185335,0.0,42.33549628,1.20817534,1.815360459,9.800305648,10.48685691,0.960316801,1.72984146,2.911109177,0.679362732,3.274144436,1.742458633,0.0,1
RNA185_FPKM,0.221829441,15.13603701,7.484696291,26.05895097,1.242845622,9.32754957,0.491743413,1.779948784,3.810362569,1.442224444,3.649447024,22.65800947,10.24813009,2.454776104,5.751079962,1.592622312,23.57373705,1.103356423,14.43760083,4.139458067,8.129366697,46.76138386,0.760292607,2.091079183,1.423715349,4.426550074,0.345081975,4.047734644,3.708202177,0.398055656,0.523221772,5.854369462,3.812480222,1.396188332,0.380146304,2.319122291,61.28560944,3.578912207,3.268828371,27.00718774,28.2547177,0.248603614,10.05805104,1.237126193,8.194967738,2.038253249,22.99904077,3.375552581,1.265607419,48.02593286,9.802614947,21.16468968,12.81096063,0.538214011,0.10998615,7.38141749,4.463825273,2.521746209,1.780367904,0.384610796,0.608982283,0.0,36.03329635,16.66911888,1.974880754,0.121788707,2.153275759,0.408574636,3.337799093,4.334883118,14.47459688,2.410718256,0.431161717,5.654486923,0.731910727,0.006895926,1.721101946,0.859636273,7.601250897,0.0,0.427924254,105.4451617,80.9939777,0.260070509,14.753441,3.00823047,2.276681436,15.06463213,6.115838254,0.945791081,7.937613481,6.929331598,0.363812252,3.272351118,1.493017653,0.0,1
